model,group,name,k,trials,exact_rate,pred_rate,avg_raw_per_candidate,avg_s,median_s,p90_s,p95_s,max_s,max_n_by_p95_safe,max_n_by_p95_safe_capped_2000,projected_score_at_p95_cap,projected_score_at_2000_if_time_safe,n_needed_for_100,n_needed_for_110,raw_per_p95_second
gemma,V52,plain_reply_only,1,48,1.0,1.0,18,0.9143243233362833,0.9100346565246582,0.9325289726257324,0.9356110453605652,0.9427156448364258,9475,2000,180.0,180.0,1112,1223,19.23876389580584
gemma,V52,only_use_reply,1,48,1.0,1.0,18,0.9170438249905905,0.9122753143310547,0.9357218503952026,0.9369531035423279,0.9413022994995117,9461,2000,180.0,180.0,1112,1223,19.211206977112948
gemma,V52,plain_reply,1,48,1.0,1.0,18,0.9388015220562617,0.9117681980133057,0.9409526348114015,0.9443105578422546,1.9164717197418213,9387,2000,180.0,180.0,1112,1223,19.061525734849262
gpt_oss,C,inj_data_first,1,48,1.0,1.0,18,0.8003130406141281,0.7979508638381958,0.8166541099548339,0.8222130537033081,0.845848798751831,10781,2000,180.0,180.0,1112,1223,21.89213600894157
gpt_oss,C,inj_close,1,48,1.0,1.0,18,0.9149640649557114,0.8604379892349243,1.0782190322875977,1.0883325695991517,1.581054449081421,8145,2000,180.0,180.0,1112,1223,16.539062142217848
gpt_oss,V52,plain_reply,1,48,1.0,1.0,18,2.2636261185010276,2.232139825820923,2.359702444076538,2.478265035152435,2.5722644329071045,3577,2000,180.0,180.0,1112,1223,7.263145686471279
